"Name","Version","InstallDate","InstallLocation"
"EA app","12.76.0.5333","20230107",
"Python 3.7.8 Test Suite (64-bit symbols)","3.7.8150.0","20210717",
"Windows SDK Desktop Libs x86","10.1.19041.685","20210718",
"sptools_Microsoft.VisualStudio.Vsto.Msi","16.0.28030","20210718",
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64_arm)","24.64.30112","20210718",
"Windows SDK Desktop Headers x86","10.1.19041.685","20210718",
"Python 3.7.8 Core Interpreter (64-bit symbols)","3.7.8150.0","20210717",
"VS Immersive Activate Helper","16.0.102.0","20210717",
"vs_minshellinteropmsi","16.10.31306","20210718",
"NVIDIA Nsight Visual Studio Edition 2022.3.0.22245","22.3.0.22245","20221128",
"Microsoft Workflow Debugger v1.0 for amd64","16.0.31306","20210718",
"Windows SDK Redistributables","10.1.19041.685","20210718",
"Python 3.7.8 Documentation (64-bit)","3.7.8150.0","20210717",
"Microsoft .NET Host - 5.0.7 (x64)","40.28.30105","20210718",
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005","12.0.21005","20210717",
"Microsoft .NET AppHost Pack - 5.0.7 (x64_x86)","40.28.30105","20210718",
"Microsoft .NET Framework 4.7.2 Targeting Pack (čeština)","4.7.03062","20210717",
" Tools for .Net 3.5","3.11.50727","20210718",
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","20231005",
"Python 3.7.8 Development Libraries (64-bit)","3.7.8150.0","20210717",
"Windows SDK Desktop Tools x86","10.1.19041.685","20210718",
"Microsoft ASP.NET Core 3.1.16 Shared Framework (x86)","3.1.16.21263","20210718",
"Epic Games Launcher","1.2.17.0","20210717","C:\Program Files (x86)\Epic Games\"
"Universal CRT Redistributable","10.1.19041.685","20210718",
"Microsoft Azure Libraries for .NET – v2.9","3.0.0127.060","20210717",
"Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)","40.0.29420","20210718",
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64_arm64)","24.64.30112","20210718",
"SDK ARM Redistributables","10.1.19041.685","20210718",
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","20231005",
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","12.0.21005","20210717",
"Windows SDK DirectX x64 Remote","10.1.19041.685","20210718",
"Visual C++ Library CRT Appx Resource Package","14.29.30038","20210718",
"vs_filehandler_x86","16.10.31206","20210718",
"Windows SDK Desktop Headers arm","10.1.19041.685","20210718",
"Windows App Certification Kit SupportedApiList x86","10.1.19041.685","20210718",
"ProtonVPNTun","0.10.0","20210806","C:\Program Files (x86)\Proton Technologies\ProtonVPNTun\"
"PowerShell 7-x64","7.3.10.0","20231128",
"vs_minshellmsi","16.10.31320","20210718",
"WinRT Intellisense Desktop - Other Languages","10.1.19041.685","20210718",
"Microsoft .NET Core 3.1 Templates 5.0.301 (x64)","12.23.30505","20210718",
"Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (čeština)","4.7.02558","20210717",
"Python 3.7.8 Utility Scripts (64-bit)","3.7.8150.0","20210717",
"Microsoft Windows Desktop Runtime - 5.0.12 (x86)","40.48.30623","20220511",
"Microsoft .NET Runtime - 5.0.12 (x86)","40.48.30622","20220511",
"Windows Subsystem for Linux Update","5.10.102.1","20231005",
"Universal General MIDI DLS Extension SDK","10.1.19041.685","20210718",
"WinRT Intellisense IoT - Other Languages","10.1.19041.685","20210718",
"Universal CRT Tools x86","10.1.19041.685","20210718",
"Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)","3.1.10.20520","20210718",
"IntelliTraceProfilerProxy","15.0.18198.01","20210717",
"Visual C++ Library CRT Appx Package","14.29.30038","20210718",
"WinAppDeploy","10.1.19041.685","20210718",
"Python 3.7.8 Tcl/Tk Support (64-bit symbols)","3.7.8150.0","20210717",
"Microsoft .NET Framework 4.6 Targeting Pack","4.6.00081","20210717",
"Microsoft NetStandard SDK","15.0.51105","20210717",
"Microsoft UniversalWindowsPlatform SDK","15.9.14","20210718",
"WinRT Intellisense PPI - Other Languages","10.1.19041.685","20210718",
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","20231211",
"Microsoft .NET Core Targeting Pack - 3.1.0 (x64)","24.64.28315","20210718",
"VS Script Debugging Common","16.0.102.0","20210717",
"Microsoft Windows Desktop Runtime - 5.0.7 (x64)","40.28.30113","20210718",
"Microsoft ASP.NET Core 3.1.16 Shared Framework (x64)","3.1.16.21263","20210718",
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","20210717",
"sptools_Microsoft.VisualStudio.OfficeDeveloperTools.Msi","16.0.29931","20210718",
"Application Verifier x64 External Package","10.1.19041.685","20210718",
"Microsoft Windows Communication Foundation Diagnostic Pack for x86","16.0.28329","20210717",
"NVIDIA Tools Extension SDK (NVTX) - 64 bit","1.00.00.00","20221128",
"Kits Configuration Installer","10.1.19041.685","20210718",
"Microsoft .NET Core Runtime - 3.1.16 (x86)","24.64.30112","20210718",
"Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319","20210717",
"Windows Simulator - ENU","16.0.28522","20210718",
"NVIDIA Nsight Compute 2022.3.0","22.3.0.0","20221128",
"Visual C++ Library CRT ARM64 Appx Package","14.29.30038","20210718",
"Windows SDK Modern Versioned Developer Tools","10.1.19041.685","20210718",
"ProtonVPN","1.22.2","20210806","C:\Program Files (x86)\Proton Technologies\ProtonVPN\"
"TypeScript SDK","4.2.4.0","20210717",
"Windows SDK for Windows Store Managed Apps Libs","10.1.19041.685","20210718",
"Intel(R) Chipset Device Software","10.1.18383.8213","20210421",
"Microsoft Azure Authoring Tools - v2.9.6","2.9.8899.26","20210717",
"Windows SDK Facade Windows WinMD Versioned","10.1.19041.685","20210718",
"Windows IoT Extension SDK Contracts","10.1.19041.685","20210718",
"Microsoft .NET Framework 3.5 Targeting Pack (csy)","3.5.28329","20210718",
